,SEXO,EDAD,NACIO,DISCA,TITU,RAMA,AMBITO,T_UNIV,ESTUDIOS_PADRE,ESTUDIOS_MADRE,IDIOMAS,NIV_ID1,NIV_ID2,MVFUERA,EST_M1,HL_E1,HL_E2,HL_E3,EST_B1,EST_B2_1,EST_B2_4,TIC,CAPITAL_CULTURAL,NIVEL_IDIOMA_MAX,MOVILIDAD_INTL,PRACTICAS_CALIDAD,PERFIL_GLOBAL
30571,1,1,1,2,101401,3,1014,1,6.0,4.0,1.0,2.0,,2.0,2.0,1,2,2,2.0,,,2.0,5.0,2.0,0,3,3.17
20363,1,1,1,2,71302,4,71,1,3.0,5.0,1.0,2.0,,2.0,2.0,2,1,2,2.0,,,3.0,4.0,2.0,0,1,3.17
16840,2,3,1,2,51201,2,51,1,4.0,6.0,2.0,1.0,2.0,2.0,2.0,4,,1,1.0,1,2,3.0,5.0,2.0,0,0,3.67
14017,2,1,1,2,41403,3,41,1,8.0,8.0,1.0,2.0,,1.0,2.0,2,4,2,2.0,,,2.0,8.0,2.0,1,1,7.17
25300,2,3,1,2,81201,4,81,1,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4,,1,2.0,,,2.0,4.0,2.0,0,0,3.67
7239,2,1,1,2,23104,1,23,1,7.0,8.0,3.0,1.0,2.0,2.0,2.0,1,4,2,2.0,,,2.0,7.5,2.0,0,3,4.17
23400,1,2,1,2,73101,4,73,1,8.0,8.0,2.0,1.0,1.0,2.0,1.0,2,1,2,1.0,2,2,2.0,8.0,1.0,1,1,6.33
3217,2,1,1,2,11301,3,113,1,4.0,8.0,1.0,1.0,,2.0,2.0,1,3,2,2.0,,,2.0,6.0,1.0,0,3,1.83
2557,2,2,1,2,11301,3,113,3,,4.0,2.0,1.0,2.0,2.0,2.0,2,1,1,2.0,,,2.0,4.0,2.0,0,1,3.67
27136,2,3,1,2,91301,5,913,3,4.0,5.0,2.0,2.0,2.0,2.0,2.0,1,5,2,2.0,,,2.0,4.5,2.0,0,3,3.67
7340,2,1,1,2,23104,1,23,1,,,2.0,1.0,1.0,1.0,1.0,3,5,2,1.0,1,2,2.0,,1.0,1,2,6.33
13742,2,1,1,2,41303,3,413,1,3.0,5.0,1.0,,,2.0,2.0,1,9,2,1.0,1,2,2.0,4.0,0.0,0,3,0.5
3276,2,1,1,2,11301,3,113,1,,,2.0,1.0,1.0,2.0,2.0,4,,1,2.0,,,2.0,,1.0,0,0,2.33
5190,2,1,1,2,21301,1,21,1,7.0,6.0,1.0,2.0,,2.0,1.0,4,,1,1.0,1,2,2.0,6.5,2.0,1,0,7.17
18481,1,1,1,2,53301,2,53,1,,,1.0,1.0,,2.0,2.0,4,,2,2.0,,,3.0,,1.0,0,0,1.83
5786,1,1,1,2,22201,1,22,1,8.0,8.0,3.0,1.0,2.0,2.0,2.0,3,2,2,1.0,2,2,2.0,8.0,2.0,0,2,4.17
